age	data
41	gut
40	gut
58	gut
53	gut
31	gut
62	gut
59	gut
26	gut
47	gut
14	gut
37	gut
43	gut
35	gut
56	gut
68	gut
25	gut
41	gut
40	gut
65	gut
42	gut
41	gut
28	gut
47	gut
42	gut
41	gut
68	gut
28	gut
61	gut
62	gut
49	gut
39	gut
39	gut
31	gut
67	gut
42	gut
28	gut
36	gut
58	gut
50	gut
43	gut
35	gut
35	gut
33	gut
66	gut
47	gut
59	gut
69	gut
36	gut
80	gut
65	gut
28	gut
71	gut
66	gut
38	gut
58	gut
52	gut
60	gut
23	gut
67	gut
42	gut
39	gut
49	gut
42	gut
42	gut
50	gut
17	gut
14	gut
42	gut
29	gut
39	gut
67	gut
30	gut
35	gut
45	gut
49	gut
69	gut
37	gut
38	gut
63	gut
28	gut
64	gut
68	gut
48	gut
50	gut
36	gut
58	gut
41	gut
44	gut
37	gut
50	gut
60	gut
43	gut
28	gut
65	gut
54	gut
59	gut
41	gut
55	gut
39	gut
65	gut
35	gut
39	gut
56	gut
46	gut
40	gut
39	gut
75	gut
21	gut
52	gut
54	gut
34	gut
68	gut
54	gut
64	gut
52	gut
81	gut
27	gut
71	gut
32	gut
61	gut
33	gut
36	gut
35	gut
47	gut
53	gut
24	gut
55	gut
35	gut
56	gut
54	gut
79	gut
28	gut
53	gut
61	gut
28	gut
34	gut
33	gut
52	gut
63	gut
30	gut
63	gut
47	gut
34	gut
34	gut
69	gut
63	gut
43	gut
54	gut
60	gut
70	gut
33	gut
57	gut
32	gut
24	gut
36	gut
80	gut
61	gut
44	gut
40	gut
33	gut
53	gut
56	gut
57	gut
58	gut
33	gut
33	gut
23	gut
30	gut
21	gut
22	gut
57	gut
19	gut
52	gut
19	gut
20	gut
26	gut
31	gut
39	gut
51	gut
36	gut
56	gut
45	gut
5	gut
37	gut
45	gut
44	gut
31	gut
31	gut
62	gut
50	gut
75	gut
57	gut
42	gut
29	gut
48	gut
40	gut
58	gut
42	gut
30	gut
70	gut
56	gut
59	gut
24	gut
60	gut
50	gut
32	gut
64	gut
54	gut
38	gut
31	gut
44	gut
31	gut
56	gut
53	gut
57	gut
38	gut
54	gut
38	gut
41	gut
36	gut
29	gut
16	gut
43	gut
36	gut
12	gut
37	gut
38	gut
28	gut
32	gut
44	gut
37	gut
21	gut
50	gut
33	gut
61	gut
51	gut
37	gut
36	gut
61	gut
32	gut
89	gut
43	gut
43	gut
57	gut
55	gut
58	gut
66	gut
70	gut
44	gut
36	gut
60	gut
27	gut
51	gut
26	gut
56	gut
25	gut
57	gut
42	gut
44	gut
35	gut
36	gut
65	gut
32	gut
40	gut
63	gut
35	gut
56	gut
52	gut
66	gut
31	gut
29	gut
41	gut
47	gut
49	gut
75	gut
74	gut
37	gut
16	gut
47	gut
37	gut
53	gut
18	gut
16	gut
40	gut
6	gut
4	gut
48	gut
27	gut
56	gut
52	gut
59	gut
39	gut
42	gut
34	gut
67	gut
48	gut
54	gut
5	gut
7	gut
51	gut
59	gut
49	gut
55	gut
31	gut
37	gut
62	gut
43	gut
46	gut
33	gut
35	gut
41	gut
68	gut
74	gut
54	gut
55	gut
38	gut
70	gut
50	gut
37	gut
63	gut
69	gut
19	gut
37	gut
57	gut
46	gut
51	gut
53	gut
25	gut
43	gut
52	gut
50	gut
45	gut
39	gut
36	gut
47	gut
63	gut
51	gut
48	gut
51	gut
69	gut
61	gut
37	gut
37	gut
63	gut
55	gut
76	gut
43	gut
45	gut
64	gut
65	gut
66	gut
69	gut
48	gut
35	gut
23	gut
55	gut
40	gut
37	gut
50	gut
58	gut
68	gut
34	gut
29	gut
38	gut
63	gut
49	gut
54	gut
78	gut
53	gut
45	gut
73	gut
70	gut
31	gut
66	gut
49	gut
72	gut
60	gut
59	gut
74	gut
54	gut
55	gut
50	gut
52	gut
77	gut
71	gut
64	gut
66	gut
59	gut
63	gut
59	gut
50	gut
59	gut
59	gut
44	gut
44	gut
59	gut
66	gut
59	gut
61	gut
37	gut
36	gut
35	gut
69	gut
33	gut
20	gut
42	gut
32	gut
78	gut
30	gut
78	gut
56	gut
68	gut
32	gut
45	gut
38	gut
56	gut
36	gut
27	gut
64	gut
52	gut
22	gut
26	gut
20	gut
10	gut
45	gut
48	gut
35	gut
53	gut
54	gut
67	gut
55	gut
69	gut
70	gut
45	gut
48	gut
33	gut
36	gut
38	gut
37	gut
53	gut
64	gut
9	gut
43	gut
62	gut
47	gut
53	gut
63	gut
43	gut
44	gut
42	gut
40	gut
58	gut
53	gut
46	gut
35	gut
45	gut
31	gut
73	gut
58	gut
61	gut
53	gut
45	gut
37	gut
35	gut
34	gut
37	gut
48	gut
46	gut
60	gut
47	gut
59	gut
52	gut
26	gut
25	gut
23	gut
46	gut
45	gut
35	gut
36	gut
37	gut
40	gut
22	gut
19	gut
52	gut
19	gut
20	gut
22	gut
26	gut
33	gut
22	gut
28	gut
61	gut
42	gut
10	gut
22	gut
65	gut
51	gut
61	gut
32	gut
33	gut
60	gut
34	gut
50	gut
63	gut
37	gut
53	gut
41	gut
66	gut
63	gut
56	gut
59	gut
39	gut
26	gut
26	gut
53	gut
32	gut
43	gut
39	gut
40	gut
24	gut
23	gut
29	gut
23	gut
25	gut
75	gut
56	gut
35	gut
72	gut
29	gut
47	gut
55	gut
50	gut
62	gut
65	gut
12	gut
49	gut
66	gut
24	gut
40	gut
64	gut
46	gut
52	gut
52	gut
68	gut
33	gut
70	gut
66	gut
17	gut
43	gut
37	gut
41	gut
50	gut
62	gut
59	gut
60	gut
59	gut
40	gut
34	gut
72	gut
70	gut
58	gut
67	gut
33	gut
53	gut
46	gut
46	gut
38	gut
33	gut
52	gut
34	gut
61	gut
46	gut
60	gut
58	gut
60	gut
62	gut
74	gut
58	gut
55	gut
42	gut
51	gut
63	gut
56	gut
59	gut
26	gut
51	gut
67	gut
51	gut
57	gut
58	gut
51	gut
43	gut
60	gut
69	gut
13	gut
55	gut
77	gut
64	gut
62	gut
39	gut
66	gut
61	gut
33	gut
70	gut
50	gut
63	gut
64	gut
13	gut
40	gut
51	gut
68	gut
43	gut
32	gut
44	gut
39	gut
20	gut
53	gut
56	gut
46	gut
53	gut
50	gut
62	gut
43	gut
53	gut
40	gut
50	gut
50	gut
46	gut
56	gut
14	gut
51	gut
64	gut
27	gut
52	gut
76	gut
62	gut
67	gut
45	gut
49	gut
31	gut
49	gut
43	gut
58	gut
54	gut
36	gut
23	gut
59	gut
33	gut
29	gut
41	gut
50	gut
30	gut
62	gut
50	gut
52	gut
34	gut
43	gut
43	gut
50	gut
67	gut
59	gut
51	gut
70	gut
31	gut
49	gut
61	gut
27	gut
27	gut
54	gut
25	gut
63	gut
51	gut
59	gut
55	gut
38	gut
69	gut
57	gut
20	gut
51	gut
49	gut
34	gut
70	gut
60	gut
50	gut
58	gut
50	gut
65	gut
65	gut
68	gut
71	gut
86	gut
55	gut
61	gut
34	gut
58	gut
56	gut
54	gut
65	gut
63	gut
63	gut
65	gut
35	gut
43	gut
32	gut
28	gut
38	gut
38	gut
66	gut
69	gut
61	gut
33	gut
71	gut
54	gut
88	gut
30	gut
48	gut
59	gut
30	gut
70	gut
58	gut
69	gut
49	gut
64	gut
75	gut
34	gut
33	gut
60	gut
35	gut
53	gut
42	gut
42	gut
47	gut
51	gut
37	gut
66	gut
62	gut
43	gut
53	gut
47	gut
40	gut
36	gut
30	gut
31	gut
51	gut
48	gut
70	gut
57	gut
35	gut
37	gut
40	gut
54	gut
39	gut
44	gut
52	gut
70	gut
32	gut
57	gut
38	gut
32	gut
53	gut
57	gut
40	gut
36	gut
50	gut
65	gut
48	gut
42	gut
65	gut
33	gut
51	gut
55	gut
59	gut
56	gut
60	gut
52	gut
32	gut
40	gut
66	gut
68	gut
40	gut
